module,function_name,line,lines_of_code,hash,args,docstring
"vascular_lib/adapters/mesh_adapter.py","to_trimesh",14,132,"5935ba9b","network,mode,radial_resolution,include_caps,min_segment_length","Convert VascularNetwork to trimesh.Trimesh for STL export.  Two modes: - 'fast': Concatenate all seg"
"vascular_lib/adapters/mesh_adapter.py","_create_capsule_mesh",149,64,"f5411d26","start,end,r_start,r_end,radial_resolution,include_caps","Create a capsule mesh (cylinder with optional hemispherical caps).  Parameters ---------- start : np"
"vascular_lib/adapters/mesh_adapter.py","export_stl",216,55,"949b41a9","network,output_path,mode,repair","Export VascularNetwork to STL file.  Parameters ---------- network : VascularNetwork     The vascula"
"vascular_lib/adapters/networkx_adapter.py","to_networkx_graph",16,70,"10f7f652","network","Convert VascularNetwork to NetworkX graph.  The resulting graph has node attributes: - 'coord': [x, "
"vascular_lib/adapters/networkx_adapter.py","from_networkx_graph",89,79,"254c956a","G,domain,node_id_map","Convert NetworkX graph to VascularNetwork.  Parameters ---------- G : nx.Graph     NetworkX graph wi"
"vascular_lib/adapters/report_adapter.py","make_full_report",10,115,"a1ee1163","network,include_flow,include_geometry,include_coverage,tissue_points,mu,pin,pout","Create comprehensive LLM-friendly report combining all metrics.  Integrates with existing vascular_n"
"vascular_lib/adapters/report_adapter.py","_compute_quality_flags",128,23,"0a037cb0","report","Compute quality flags from report data."
"vascular_lib/adapters/report_adapter.py","_generate_summary",154,25,"fae8cd60","report","Generate natural language summary."
"vascular_lib/analysis/coverage.py","compute_coverage",11,87,"d3f47b1a","network,tissue_points,diffusion_distance,vessel_type","Compute tissue coverage by vascular network.  Parameters ---------- network : VascularNetwork     Ne"
"vascular_lib/analysis/flow.py","estimate_flows",10,110,"34f42471","network,inlet_pressures,outlet_pressures,blood_viscosity","import warnings warnings.warn(     'estimate_flows() is deprecated. Use compute_component_flows() fr"
"vascular_lib/analysis/flow.py","check_hemodynamic_plausibility",123,86,"ecaf51af","network,flow_result","Check hemodynamic plausibility of network.  Returns warnings for potential issues.  Parameters -----"
"vascular_lib/analysis/perfusion.py","compute_perfusion_metrics",13,143,"f592e21e","network,tissue_points,weights,distance_cap","Compute tissue perfusion metrics for dual-tree networks.  Analyzes perfusion based on proximity to b"
"vascular_lib/analysis/perfusion.py","suggest_anastomosis_locations",159,99,"d94e37c9","network,perfusion_metrics,rules,k","Suggest anastomosis locations based on perfusion analysis.  Identifies arterial-venous node pairs th"
"vascular_lib/analysis/query.py","get_leaf_nodes",10,26,"fad5ec4e","network,vessel_type","Get all leaf (terminal) nodes in the network.  Parameters ---------- network : VascularNetwork     N"
"vascular_lib/analysis/query.py","get_paths_from_inlet",39,44,"49bcde57","network,inlet_id","Get all paths from an inlet to leaf nodes.  Parameters ---------- network : VascularNetwork     Netw"
"vascular_lib/analysis/query.py","get_branch_order",86,25,"94c0c2e2","network,node_id","Get branch order of a node.  Branch order is the number of bifurcations from the inlet.  Parameters "
"vascular_lib/analysis/query.py","measure_segment_lengths",114,44,"9fd3a986","network,vessel_type","Measure segment length statistics.  Parameters ---------- network : VascularNetwork     Network to q"
"vascular_lib/analysis/query.py","dfs",70,9,"7064025a","node_id,path",""
"vascular_lib/analysis/solver.py","solve_flow",13,142,"2f27c8d8","network,inlet_node_ids,outlet_node_ids,pin,pout,mu,write_to_network","Solve flow through the vascular network using full Poiseuille solver.  This wraps the existing vascu"
"vascular_lib/analysis/solver.py","compute_component_flows",158,114,"70251954","network","Compute flow metrics per component (per tree).  For each connected component, measures flow from its"
"vascular_lib/analysis/solver.py","check_flow_plausibility",275,92,"fb3c5929","network","Check if flow solution is hemodynamically plausible.  Checks: - Flow conservation at junctions - Pre"
"vascular_lib/analysis/structure.py","compute_branch_stats",8,41,"804c3ff7","network","Compute comprehensive branch statistics.  Parameters ---------- network : VascularNetwork     Networ"
"vascular_lib/api/design.py","design_from_spec",14,107,"0beb6fd3","spec","Build a vascular network from a design specification.  This is the main entry point for LLM-driven v"
"vascular_lib/api/evaluate.py","evaluate_network",25,26,"6a9c70f8","network,tissue_points,config","Evaluate vascular network quality with comprehensive metrics."
"vascular_lib/api/evaluate.py","_compute_coverage_metrics",54,32,"d1b27476","network,tissue_points","Compute coverage and perfusion metrics."
"vascular_lib/api/evaluate.py","_compute_flow_metrics",89,54,"b129b554","network,config","Compute hemodynamic flow metrics."
"vascular_lib/api/evaluate.py","_compute_structure_metrics",146,84,"40824d1b","network,config","Compute structural and topological metrics."
"vascular_lib/api/evaluate.py","_compute_validity_metrics",233,21,"71415bd5","network","Compute validity and quality checks."
"vascular_lib/api/evaluate.py","_compute_scores",257,21,"f8d60cd2","coverage,flow,structure,config","Compute normalized quality scores (0-1, higher is better)."
"vascular_lib/api/experiment.py","run_experiment",19,139,"1d830eff","spec,output_dir,eval_config,save_network,save_spec,save_eval","Run complete vascular network design experiment.  This function: 1. Creates network from DesignSpec "
"vascular_lib/core/domain.py","domain_from_dict",381,11,"ad738ba4","d","Create domain from dictionary based on type."
"vascular_lib/core/domain.py","contains",16,2,"1d486039","self,point","Check if a point is inside the domain."
"vascular_lib/core/domain.py","project_inside",21,2,"c071588a","self,point","Project a point to the nearest point inside the domain."
"vascular_lib/core/domain.py","distance_to_boundary",26,2,"9637ba56","self,point","Compute distance from point to domain boundary."
"vascular_lib/core/domain.py","sample_points",31,2,"f206570c","self,n_points,seed","Sample random points inside the domain."
"vascular_lib/core/domain.py","to_dict",36,2,"52da87e2","self","Convert to dictionary for serialization."
"vascular_lib/core/domain.py","get_bounds",41,2,"a3408d7d","self","Get bounding box (min_x, max_x, min_y, max_y, min_z, max_z)."
"vascular_lib/core/domain.py","__post_init__",55,2,"14032b2b","self",""
"vascular_lib/core/domain.py","contains",59,11,"89093b94","self,point","Check if point is inside ellipsoid."
"vascular_lib/core/domain.py","project_inside",72,27,"a73934c5","self,point","Project point to nearest point inside ellipsoid."
"vascular_lib/core/domain.py","distance_to_boundary",101,25,"f5a5d5a8","self,point","Approximate distance to boundary."
"vascular_lib/core/domain.py","sample_points",128,19,"c145163f","self,n_points,seed","Sample random points uniformly inside ellipsoid."
"vascular_lib/core/domain.py","get_bounds",149,9,"c8303197","self","Get bounding box."
"vascular_lib/core/domain.py","to_dict",160,8,"da16ba2f","self","Convert to dictionary."
"vascular_lib/core/domain.py","from_dict",171,7,"71eedc4b","cls,d","Create from dictionary."
"vascular_lib/core/domain.py","__post_init__",192,7,"33643844","self","Validate box dimensions."
"vascular_lib/core/domain.py","contains",201,6,"beef9301","self,point","Check if point is inside box."
"vascular_lib/core/domain.py","project_inside",209,10,"b1a591b1","self,point","Project point to nearest point inside box."
"vascular_lib/core/domain.py","distance_to_boundary",221,9,"4ce65a43","self,point","Compute distance to nearest box face."
"vascular_lib/core/domain.py","sample_points",232,8,"195a7625","self,n_points,seed","Sample random points uniformly inside box."
"vascular_lib/core/domain.py","get_bounds",242,6,"6d1e4255","self","Get bounding box (same as box itself)."
"vascular_lib/core/domain.py","to_dict",250,10,"e9bf12f9","self","Convert to dictionary."
"vascular_lib/core/domain.py","from_dict",263,9,"063db2cc","cls,d","Create from dictionary."
"vascular_lib/core/domain.py","from_center_and_size",275,9,"916a893e","cls,center,width,height,depth","Create box from center point and dimensions."
"vascular_lib/core/domain.py","__post_init__",294,8,"52d1e869","self","Load mesh on initialization."
"vascular_lib/core/domain.py","contains",304,3,"0741939c","self,point","Check if point is inside mesh."
"vascular_lib/core/domain.py","project_inside",309,13,"6820e838","self,point","Project point to nearest point inside mesh."
"vascular_lib/core/domain.py","distance_to_boundary",324,4,"f6c574f7","self,point","Compute distance to mesh boundary."
"vascular_lib/core/domain.py","sample_points",330,27,"d87c24fa","self,n_points,seed","Sample random points inside mesh."
"vascular_lib/core/domain.py","get_bounds",359,7,"38a906b9","self","Get bounding box."
"vascular_lib/core/domain.py","to_dict",368,5,"fb8ad934","self","Convert to dictionary."
"vascular_lib/core/domain.py","from_dict",376,2,"c5fb1420","cls,d","Create from dictionary."
"vascular_lib/core/ids.py","__init__",11,13,"3a79f015","self,seed,start_id","Initialize ID generator.  Parameters ---------- seed : int, optional     Random seed for determinist"
"vascular_lib/core/ids.py","next_id",26,4,"62ef7453","self","Get next ID."
"vascular_lib/core/ids.py","peek_next_id",32,2,"63382f21","self","Peek at next ID without consuming it."
"vascular_lib/core/ids.py","reset",36,2,"664967a3","self,start_id","Reset ID counter."
"vascular_lib/core/ids.py","get_state",40,6,"2a1a2702","self","Get current state for serialization."
"vascular_lib/core/ids.py","set_state",48,6,"374fcd1e","self,state","Restore state from serialization."
"vascular_lib/core/network.py","to_dict",27,8,"c3afd268","self","Convert to dictionary for serialization."
"vascular_lib/core/network.py","from_dict",38,8,"f4cdbb30","cls,d","Create from dictionary."
"vascular_lib/core/network.py","to_dict",64,9,"1d736e3a","self","Convert to dictionary for serialization."
"vascular_lib/core/network.py","from_dict",76,9,"0c83add2","cls,d","Create from dictionary."
"vascular_lib/core/network.py","__init__",95,27,"9f4eb852","self,domain,metadata,seed","Initialize vascular network.  Parameters ---------- domain : DomainSpec     Geometric domain for the"
"vascular_lib/core/network.py","add_node",124,3,"8ea6f54e","self,node","Add a node to the network."
"vascular_lib/core/network.py","add_segment",129,7,"1652c8db","self,segment","Add a segment to the network."
"vascular_lib/core/network.py","remove_node",138,4,"8b2dd8db","self,node_id","Remove a node from the network."
"vascular_lib/core/network.py","remove_segment",144,4,"cc844237","self,segment_id","Remove a segment from the network."
"vascular_lib/core/network.py","get_node",150,2,"80cf1ac9","self,node_id","Get node by ID."
"vascular_lib/core/network.py","get_segment",154,2,"6a7b8893","self,segment_id","Get segment by ID."
"vascular_lib/core/network.py","get_spatial_index",158,5,"b90180e8","self","Get or create spatial index."
"vascular_lib/core/network.py","_invalidate_spatial_index",165,2,"d55ee871","self","Invalidate spatial index after modifications."
"vascular_lib/core/network.py","snapshot",169,8,"dda3bba8","self","Create a snapshot of current network state."
"vascular_lib/core/network.py","restore",179,6,"04663e5b","self,snapshot","Restore network from a snapshot."
"vascular_lib/core/network.py","to_dict",187,9,"28c3c0d2","self","Convert to dictionary for serialization."
"vascular_lib/core/network.py","from_dict",199,16,"6e31fe84","cls,d","Create from dictionary."
"vascular_lib/core/network.py","apply_delta",217,62,"c07f4a2f","self,delta","Apply a delta to the network.  This is the core operation for undo/redo functionality.  Parameters -"
"vascular_lib/core/network.py","push_undo",281,7,"78da7ac4","self,delta","Push a delta onto the undo stack.  This should be called after every successful mutating operation."
"vascular_lib/core/network.py","undo",290,27,"2326f5bd","self","Undo the last operation.  Returns ------- OperationResult     Result of the undo operation"
"vascular_lib/core/network.py","redo",319,19,"1189b860","self","Redo the last undone operation.  Returns ------- OperationResult     Result of the redo operation"
"vascular_lib/core/network.py","can_undo",340,2,"1bb4f2c9","self","Check if undo is available."
"vascular_lib/core/network.py","can_redo",344,2,"64e4b08b","self","Check if redo is available."
"vascular_lib/core/result.py","to_dict",65,9,"b7600c6c","self","Convert to dictionary for serialization."
"vascular_lib/core/result.py","from_dict",77,9,"3982cb2b","cls,d","Create from dictionary."
"vascular_lib/core/result.py","is_success",107,2,"88764872","self","Check if operation was successful."
"vascular_lib/core/result.py","is_failure",111,2,"d266fd27","self","Check if operation failed."
"vascular_lib/core/result.py","add_warning",115,2,"2a6f0674","self,warning","Add a warning message."
"vascular_lib/core/result.py","add_error",119,4,"1f189142","self,error,code","Add an error message with optional error code."
"vascular_lib/core/result.py","to_dict",125,12,"e33296a0","self","Convert to dictionary for serialization (JSON-safe)."
"vascular_lib/core/result.py","from_dict",140,12,"a2dbed16","cls,d","Create from dictionary."
"vascular_lib/core/result.py","success",155,2,"de0f8da1","cls,message","Create a success result."
"vascular_lib/core/result.py","failure",160,2,"c2f36cd3","cls,message","Create a failure result."
"vascular_lib/core/result.py","partial_success",165,2,"bd85e843","cls,message","Create a partial success result."
"vascular_lib/core/types.py","to_array",18,2,"a41a7597","self","Convert to numpy array."
"vascular_lib/core/types.py","from_array",23,2,"c72e2a04","cls,arr","Create from numpy array."
"vascular_lib/core/types.py","to_tuple",27,2,"2a5604a0","self","Convert to tuple."
"vascular_lib/core/types.py","from_tuple",32,2,"0dfbb6b8","cls,t","Create from tuple."
"vascular_lib/core/types.py","distance_to",36,5,"140b77fe","self,other","Compute Euclidean distance to another point."
"vascular_lib/core/types.py","to_dict",43,2,"2e96cd8f","self","Convert to dictionary for serialization."
"vascular_lib/core/types.py","from_dict",48,2,"00a9ca6c","cls,d","Create from dictionary."
"vascular_lib/core/types.py","__post_init__",61,2,"4ad96e4f","self","Normalize on creation."
"vascular_lib/core/types.py","normalize",65,7,"b89c640a","self","Normalize to unit length."
"vascular_lib/core/types.py","to_array",74,2,"d1ae687d","self","Convert to numpy array."
"vascular_lib/core/types.py","from_array",79,2,"e4be1d18","cls,arr","Create from numpy array (will be normalized)."
"vascular_lib/core/types.py","to_tuple",83,2,"132d01e8","self","Convert to tuple."
"vascular_lib/core/types.py","from_tuple",88,2,"5b37d3a2","cls,t","Create from tuple (will be normalized)."
"vascular_lib/core/types.py","dot",92,2,"1f905fba","self,other","Compute dot product with another direction."
"vascular_lib/core/types.py","cross",96,5,"bf547b08","self,other","Compute cross product with another direction."
"vascular_lib/core/types.py","angle_to",103,3,"58cf8607","self,other","Compute angle to another direction in radians."
"vascular_lib/core/types.py","to_dict",108,2,"9050dbec","self","Convert to dictionary for serialization."
"vascular_lib/core/types.py","from_dict",113,2,"b38f1035","cls,d","Create from dictionary."
"vascular_lib/core/types.py","length",128,9,"ac3b6ee4","self","Compute segment length."
"vascular_lib/core/types.py","direction",139,5,"9b27ec57","self","Get overall direction from start to end."
"vascular_lib/core/types.py","mean_radius",146,2,"066fb04d","self","Get mean radius."
"vascular_lib/core/types.py","to_dict",150,8,"1bbafb98","self","Convert to dictionary for serialization."
"vascular_lib/core/types.py","from_dict",161,8,"aa744550","cls,d","Create from dictionary."
"vascular_lib/examples/design_spec_example.py","example_1_single_tree_with_preset",17,43,"137b7590","","Example 1: Single arterial tree using parameter preset."
"vascular_lib/examples/design_spec_example.py","example_2_custom_colonization_params",63,49,"8fcf170f","","Example 2: Custom colonization parameters (not using preset)."
"vascular_lib/examples/design_spec_example.py","example_3_dual_tree_design",115,44,"79374453","","Example 3: Dual-tree (arterial + venous) network."
"vascular_lib/examples/design_spec_example.py","example_4_iterative_refinement",162,47,"5f1aa31e","","Example 4: Iterative spec refinement based on evaluation."
"vascular_lib/examples/design_spec_example.py","example_5_spec_serialization",212,35,"3feabb7c","","Example 5: Saving and loading specs as JSON."
"vascular_lib/examples/design_spec_example.py","main",250,20,"b71721ba","","Run all examples."
"vascular_lib/examples/double_tree_design.py","main",33,205,"c673c727","","Build a dual-tree vascular network with anastomoses."
"vascular_lib/examples/full_pipeline.py","main",20,197,"57e5ca43","","Run complete pipeline."
"vascular_lib/examples/llm_design_loop.py","example_basic_construction",32,46,"1bea4919","","Example 1: Basic network construction."
"vascular_lib/examples/llm_design_loop.py","example_manual_growth",81,37,"190e6021","network,inlet_id","Example 2: Manual branch growth and bifurcation."
"vascular_lib/examples/llm_design_loop.py","example_space_colonization",121,31,"fcb95438","network,inlet_id","Example 3: Space colonization for organic growth."
"vascular_lib/examples/llm_design_loop.py","example_coverage_analysis",155,25,"7302d0e4","network","Example 4: Coverage analysis."
"vascular_lib/examples/llm_design_loop.py","example_flow_analysis",183,27,"b65594f0","network,inlet_id,outlet_id","Example 5: Flow analysis."
"vascular_lib/examples/llm_design_loop.py","example_serialization",213,17,"399e09b2","network","Example 6: Save and load network."
"vascular_lib/examples/llm_design_loop.py","example_query_operations",233,22,"a1f0f236","network,inlet_id","Example 7: Query operations."
"vascular_lib/examples/llm_design_loop.py","main",258,25,"9fb15489","","Run all examples."
"vascular_lib/io/serialize.py","save_json",11,27,"4a948e23","network,filepath,indent","Save vascular network to JSON file.  Parameters ---------- network : VascularNetwork     Network to "
"vascular_lib/io/serialize.py","load_json",41,30,"ba4f3d3d","filepath","Load vascular network from JSON file.  Parameters ---------- filepath : str or Path     Input file p"
"vascular_lib/ops/anastomosis.py","create_anastomosis",13,178,"5f8fff55","network,arterial_node_id,venous_node_id,rules,radius,max_length,dry_run","Create an anastomosis (capillary connection) between arterial and venous nodes.  This operation crea"
"vascular_lib/ops/anastomosis.py","check_tree_interactions",194,108,"dbd0b205","network,rules","Check for cross-type clearance violations and anastomosis opportunities.  Analyzes the network for: "
"vascular_lib/ops/build.py","create_network",12,34,"5e7c930b","domain,metadata,seed","Create a new empty vascular network.  Parameters ---------- domain : DomainSpec     Geometric domain"
"vascular_lib/ops/build.py","add_inlet",49,65,"ebbed124","network,position,direction,radius,vessel_type","Add an inlet node to the network.  Parameters ---------- network : VascularNetwork     Network to mo"
"vascular_lib/ops/build.py","add_outlet",117,65,"9b610cbd","network,position,direction,radius,vessel_type","Add an outlet node to the network.  Parameters ---------- network : VascularNetwork     Network to m"
"vascular_lib/ops/collision.py","get_collisions",25,40,"ff920e8f","network,min_clearance,exclude_connected","Find all segment pairs that are too close.  Parameters ---------- network : VascularNetwork     Netw"
"vascular_lib/ops/collision.py","avoid_collisions",68,46,"84b8a1f3","network,min_clearance,repair_strategy","Detect and optionally repair collisions.  Parameters ---------- network : VascularNetwork     Networ"
"vascular_lib/ops/collision.py","_repair_by_reroute",117,133,"157fe4a8","network,collisions,min_clearance,max_attempts,cone_angle,angular_step","Repair collisions by rerouting segments.  Strategy: Sample directions in a cone around the desired d"
"vascular_lib/ops/collision.py","_repair_by_shrink",253,77,"ed6d4ca0","network,collisions,min_clearance,shrink_factor,min_radius","Repair collisions by shrinking radius and/or length."
"vascular_lib/ops/collision.py","_repair_by_terminate",333,47,"b6d015a1","network,collisions","Repair collisions by marking end nodes as terminal."
"vascular_lib/ops/collision.py","_compute_direction",383,16,"2addf839","segment","Compute direction vector from segment."
"vascular_lib/ops/collision.py","_sample_cone_direction",402,32,"374cf320","base_direction,cone_angle,angular_step,attempt","Sample a direction within a cone around base_direction.  Uses systematic sampling with increasing an"
"vascular_lib/ops/collision.py","_check_segment_clearance",437,42,"3e3239ed","network,seg_id,start,end,radius","Check minimum clearance of a segment to all other segments.  Returns minimum distance to other segme"
"vascular_lib/ops/collision.py","_segment_to_segment_distance",482,34,"1e3e3d28","p1,p2,q1,q2","Compute minimum distance between two line segments."
"vascular_lib/ops/growth.py","grow_branch",14,168,"a84a6e4d","network,from_node_id,length,direction,target_radius,constraints,check_collisions,seed","Grow a branch from an existing node.  Parameters ---------- network : VascularNetwork     Network to"
"vascular_lib/ops/growth.py","bifurcate",185,164,"c7707577","network,at_node_id,child_lengths,angle_deg,radius_rule,degradation_rule,constraints,check_collisions,seed","Create a bifurcation at an existing node.  Parameters ---------- network : VascularNetwork     Netwo"
"vascular_lib/ops/pathfinding.py","grow_toward_targets",47,124,"fb163b95","network,from_node_id,target_positions,cost_weights,constraints,segment_length,seed","Grow branch directly toward target positions.  This is a simplified pathfinding implementation that "
"vascular_lib/ops/pathfinding.py","to_dict",25,8,"7d60c74a","self","Convert to dictionary."
"vascular_lib/ops/pathfinding.py","from_dict",36,8,"ff1f6b8f","cls,d","Create from dictionary."
"vascular_lib/ops/space_colonization.py","space_colonization_step",90,261,"869cfa0e","network,tissue_points,params,constraints,seed","Perform space colonization growth step.  This algorithm grows vascular networks towards tissue point"
"vascular_lib/ops/space_colonization.py","_compute_angle_spread",354,16,"7c15ba65","vectors","Compute maximum pairwise angle between unit vectors.  Returns angle in degrees."
"vascular_lib/ops/space_colonization.py","_cluster_attractions_by_angle",373,61,"6f659df7","attraction_vectors,max_clusters","Cluster attraction vectors into groups using simple angle-based two-means.  Returns list of cluster "
"vascular_lib/ops/space_colonization.py","_apply_directional_blending",437,53,"c0271cdd","avg_direction,node,params","Apply directional constraint blending to a growth direction."
"vascular_lib/ops/space_colonization.py","_apply_curvature_constraint",493,50,"7b873d77","growth_direction,node,params","Apply maximum curvature constraint to growth direction.  If the node has a previous direction and ma"
"vascular_lib/ops/space_colonization.py","_check_clearance",546,46,"7bbe4b97","new_position,network,from_node_id,params","Check if new position maintains minimum clearance from other segments.  Returns True if clearance is"
"vascular_lib/ops/space_colonization.py","to_dict",42,21,"e5f36110","self","Convert to dictionary."
"vascular_lib/ops/space_colonization.py","from_dict",66,21,"de0424f3","cls,d","Create from dictionary."
"vascular_lib/params/presets.py","liver_arterial_dense",11,24,"e2ce370c","","Dense arterial tree for liver lobe.  Characteristics: - Small influence radius for dense branching -"
"vascular_lib/params/presets.py","liver_venous_sparse",38,24,"1b8b53f3","","Sparse venous tree for liver lobe.  Characteristics: - Larger influence radius for sparser branching"
"vascular_lib/params/presets.py","kidney_arterial",65,24,"8b5ae7a0","","Arterial tree for kidney.  Characteristics: - Very dense branching for high perfusion - Tight curvat"
"vascular_lib/params/presets.py","sparse_debug",92,21,"409129db","","Sparse network for quick visual debugging.  Characteristics: - Very large influence radius - Large s"
"vascular_lib/params/presets.py","lung_arterial",116,24,"f4f21e94","","Pulmonary arterial tree.  Characteristics: - Moderate density - Directional bias toward alveoli - Mo"
